gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum,,,
ITGB1BP1,38,35,26,6,2,109,,,
LOC107986804,45,31,20,7,6,109,,,
MCMBP,46,13,21,9,12,109,,,
MED11,17,18,9,49,8,109,,,
MFAP1,32,26,20,21,6,109,,,
MFSD12,28,14,47,3,11,109,,,
MMRN2,20,28,54,4,0,109,,,
MRPL42,44,32,6,17,3,109,,,
NCOR1,34,13,37,6,21,109,,,
OTUD5,34,15,8,10,34,109,,,
PCGF1,10,11,62,2,17,109,,,
PICALM,26,5,10,21,35,109,,,
PLEKHF1,16,10,50,18,13,109,,,
PLPP3,39,10,19,20,16,109,,,
PPP1R1B,36,12,21,21,20,109,,,
PRKAG1,45,16,19,8,13,109,,,
PSMD3,25,25,42,3,9,109,,,
SEPSECS,16,35,43,3,10,109,,,
SFRP1,31,13,32,14,16,109,,,
TMEM133,36,19,30,9,10,109,,,
TRIM33,22,11,18,25,33,109,,,
TWISTNB,40,5,10,19,35,109,,,
WRNIP1,23,16,27,22,9,109,,,
ZCRB1,22,13,42,6,23,109,,,
ANKS1B,38,31,18,4,11,108,,,
ATG9A,36,19,7,14,27,108,,,
CTNNBL1,20,15,35,20,13,108,,,
DTX3,23,14,54,4,8,108,,,
EIF2AK1,39,19,40,4,7,108,,,
EPB41L1,20,12,32,16,29,108,,,
ESPL1,43,20,11,14,14,108,,,
FAM168A,21,19,43,6,9,108,,,
FAM73A,26,22,17,25,15,108,,,
FRMD3,29,12,27,12,35,108,,,
GOLGA8S,34,19,24,12,7,108,,,
GPR84,40,21,21,18,6,108,,,
JPT1,17,13,32,10,24,108,,,
LINS,38,14,11,21,14,108,,,
LOC101060321,32,33,21,8,9,108,,,
LOC101927844,30,29,28,6,13,108,,,
MON1B,10,19,34,23,17,108,,,
MREG,26,32,31,12,2,108,,,
MSL2,34,19,33,14,6,108,,,
MTURN,20,7,18,41,13,108,,,
NCAPG,38,23,5,30,9,108,,,
NDC80,23,24,34,9,5,108,,,
NT5C3B,16,10,24,31,25,108,,,
PIN1,25,17,38,5,25,108,,,
RAB5B,26,25,18,29,10,108,,,
RBM48,26,23,28,21,7,108,,,
RTFDC1,23,22,28,13,18,108,,,
SCAF11,42,24,18,10,11,108,,,
SCG5,33,13,40,10,3,108,,,
SLC9A1,22,8,38,17,6,108,,,
SLF1,21,19,18,32,9,108,,,
SNUPN,34,7,26,19,16,108,,,
SPIN2B,12,19,47,17,8,108,,,
SYF2,12,22,26,35,13,108,,,
TRIM28,30,10,33,22,9,108,,,
YPEL5,55,12,12,15,18,108,,,
ZNF804A,34,36,20,4,11,108,,,
AGBL5,19,11,46,16,12,107,,,
B3GALTL,25,15,32,15,10,107,,,
CCDC47,18,17,55,10,4,107,,,
CLDN20,45,25,28,6,2,107,,,
CLSTN3,36,26,15,19,10,107,,,
CYP2C18,41,20,32,3,8,107,,,
ELL,20,15,49,8,17,107,,,
ENTPD6,16,24,27,20,17,107,,,
ERO1A,32,20,21,7,24,107,,,
FAM65B,33,10,17,20,11,107,,,
FBXL13,21,19,48,4,12,107,,,
FNDC11,23,21,33,7,13,107,,,
HSPE1,27,8,40,13,16,107,,,
ITPRIP,35,9,24,22,16,107,,,
KAT2A,29,24,11,16,20,107,,,
LIMS3,45,7,33,5,15,107,,,
LOC102724971,45,21,8,16,10,107,,,
LRRC37A3,15,60,18,8,3,107,,,
LRRC4,32,14,26,15,19,107,,,
MCM10,30,20,14,24,9,107,,,
NOP10,33,11,13,31,24,107,,,
NUFIP1,45,11,30,12,7,107,,,
PATJ,35,19,26,8,11,107,,,
PET100,20,32,37,3,4,107,,,
POLR2J3,32,22,25,11,11,107,,,
PPIL2,46,18,23,3,11,107,,,
PSMD9,15,17,32,25,17,107,,,
PTBP3,19,18,46,9,12,107,,,
RFC4,31,18,25,27,9,107,,,
RNF182,38,14,17,15,13,107,,,
SLC4A11,22,11,40,14,17,107,,,
SMPD2,41,35,11,8,8,107,,,
SNX15,49,26,8,9,16,107,,,
TLK1,17,35,33,15,3,107,,,
TNFRSF25,42,24,22,4,9,107,,,
TRAPPC5,33,3,42,1,25,107,,,
UBR1,18,12,28,38,16,107,,,
VPS39,40,19,10,25,14,107,,,
AKTIP,24,12,52,7,5,106,,,
ARHGAP42,25,19,47,6,11,106,,,
ASDURF,30,33,13,10,18,106,,,
ATXN1L,36,15,34,6,12,106,,,
BCL2L12,23,17,27,20,15,106,,,
CA12,24,26,35,10,10,106,,,
CDHR5,55,13,17,7,11,106,,,
CNOT3,23,16,20,6,33,106,,,
DSN1,21,10,17,36,19,106,,,
FASTK,36,19,22,15,9,106,,,
FLCN,33,10,8,23,25,106,,,
GCLM,20,10,48,13,10,106,,,
GOLGA8H,25,15,41,22,7,106,,,
GPR135,57,8,14,15,14,106,,,
KLF16,30,16,34,9,10,106,,,
LDOC1,38,23,20,13,11,106,,,
LRP12,38,13,36,6,7,106,,,
MRPL15,34,17,14,30,7,106,,,
NUP133,33,12,20,12,20,106,,,
OXLD1,32,10,29,16,7,106,,,
POLR2B,13,7,48,24,4,106,,,
RASSF6,38,7,26,19,12,106,,,
RHPN2,16,15,32,10,27,106,,,
RNF20,25,7,26,40,11,106,,,
RNMT,13,25,41,12,15,106,,,
SELENBP1,22,24,45,7,7,106,,,
SELENOO,44,8,21,7,12,106,,,
SGF29,27,7,28,10,38,106,,,
SLC22A5,30,15,28,8,17,106,,,
TMC8,28,14,7,39,9,106,,,
TMCC1,34,30,23,16,2,106,,,
TMEM180,27,15,21,13,18,106,,,
TOP3A,18,11,53,16,3,106,,,
UQCRFS1,19,6,46,5,23,106,,,
WNT1,32,20,27,19,4,106,,,
ZMYND10,38,14,13,21,18,106,,,
ZNF236,53,11,21,12,3,106,,,
ZRSR2,36,16,19,21,12,106,,,
ARHGAP39,37,13,32,15,4,105,,,
AZU1,21,20,20,29,12,105,,,
CRK,17,11,24,25,25,105,,,
ECT2,29,22,16,27,3,105,,,
FAM134C,25,9,32,15,9,105,,,
G2E3,36,22,20,25,1,105,,,
G6PD,15,18,26,17,24,105,,,
GTF2E1,47,25,9,15,7,105,,,
HIST1H2BD,16,18,44,9,17,105,,,
ICAM2,38,22,26,11,7,105,,,
ISY1-RAB43,42,13,32,10,7,105,,,
KDM2A,26,30,18,6,20,105,,,
LOC105379417,40,11,15,15,19,105,,,
LOC107984138,45,12,21,16,5,105,,,
MAFA,40,7,15,22,10,105,,,
MPP5,33,20,34,12,5,105,,,
MTFP1,27,35,28,9,8,105,,,
NARF,38,10,18,15,13,105,,,
NRTN,36,13,29,18,8,105,,,
PPP2R1A,28,16,25,13,20,105,,,
PRICKLE3,27,20,30,13,13,105,,,
RBM22,23,10,34,19,4,105,,,
RILPL2,23,10,15,38,7,105,,,
RPL22,40,18,23,11,5,105,,,
SFTPA2,24,6,27,19,24,105,,,
SLC38A5,36,28,29,3,5,105,,,
U2AF1,29,16,19,20,21,105,,,
USP24,48,11,18,19,9,105,,,
WBP5,34,13,16,18,16,105,,,
WNT11,24,11,36,6,21,105,,,
ZBTB3,21,14,32,19,14,105,,,
ZC3H8,47,15,20,8,8,105,,,
AGMAT,34,15,26,12,13,104,,,
ALK,23,11,19,20,22,104,,,
ARFIP2,22,38,34,6,4,104,,,
BCAR1,18,19,57,3,5,104,,,
CKMT1B,21,12,33,8,23,104,,,
COX17,31,17,13,19,17,104,,,
COX7A2,26,37,26,10,6,104,,,
COX8A,35,22,19,21,6,104,,,
DCUN1D1,38,17,10,21,11,104,,,
DDX18,23,14,9,42,17,104,,,
DPP7,46,12,18,10,9,104,,,
GLRA3,12,17,33,24,15,104,,,
GVQW3,42,17,27,9,8,104,,,
HADHB,29,25,33,8,7,104,,,
HDGFRP3,29,17,21,12,15,104,,,
HIST2H2BE,43,26,23,7,2,104,,,
JMY,19,13,23,29,22,104,,,
KMT2A,30,14,12,32,12,104,,,
LOC107987351,35,22,11,17,9,104,,,
LRMDA,31,31,29,6,3,104,,,
MOB3C,14,12,62,0,13,104,,,
MRPL12,16,10,20,11,41,104,,,
NBR1,34,25,19,10,12,104,,,
NDUFS5,40,15,15,15,11,104,,,
NOP53,39,17,14,14,15,104,,,
NPC1,18,6,61,9,3,104,,,
P2RX1,7,9,50,21,9,104,,,
PLBD2,13,31,46,7,6,104,,,
S100A9,22,26,46,0,6,104,,,
SLC35C2,9,22,56,3,5,104,,,
SLC47A1,10,1,66,12,5,104,,,
ZNF250,34,18,15,22,6,104,,,
ADAM20,24,28,29,5,8,103,,,
APOL1,16,10,24,33,13,103,,,
ARHGAP26,20,11,33,12,20,103,,,
BRF1,21,11,16,39,7,103,,,
COA5,20,8,29,6,37,103,,,
EIF1AX,70,5,8,11,13,103,,,
EIF3M,26,31,16,16,19,103,,,
FAAP100,23,14,44,6,12,103,,,
FAM105A,36,25,13,21,6,103,,,
FBLN1,35,33,17,8,6,103,,,
FIP1L1,13,12,25,30,15,103,,,
GLT8D2,40,15,24,7,13,103,,,
GRINA,24,13,15,19,29,103,,,
HSPA4,25,17,26,12,5,103,,,
KANSL2,33,24,18,5,9,103,,,
LOC101928436,43,23,23,2,12,103,,,
LOC102723502,31,14,18,10,11,103,,,
LOC113230,26,13,17,20,21,103,,,
MTFR1L,20,24,29,18,11,103,,,
MXRA7,34,34,21,2,8,103,,,
NBPF11,40,21,10,10,10,103,,,
NDUFA3,34,15,13,12,25,103,,,
NFKB1,7,9,70,5,7,103,,,
OIP5,18,19,50,11,5,103,,,
PDCD6IP,35,12,35,8,0,103,,,
PLCH1,45,15,21,10,8,103,,,
POLR3K,30,10,21,15,20,103,,,
PYGM,37,12,25,14,8,103,,,
RBMS2,30,32,26,9,2,103,,,
RGPD6,30,11,36,9,10,103,,,
ROBO2,30,13,48,5,14,103,,,
RPS2,19,11,18,27,23,103,,,
SDAD1,18,21,25,23,4,103,,,
SEC11A,21,8,8,16,44,103,,,
SLC29A3,29,7,41,10,10,103,,,
SLC8A3,30,35,12,6,17,103,,,
SLIT2,21,33,21,21,1,103,,,
TBX15,19,2,48,12,16,103,,,
TCF12,36,18,17,11,14,103,,,
TNNC1,15,28,44,4,3,103,,,
TSPAN12,30,26,37,1,8,103,,,
VSTM1,32,9,23,4,31,103,,,
ZNF26,29,20,32,11,6,103,,,
ADGRE1,21,16,27,28,11,102,,,
AKAP12,23,10,24,36,9,102,,,
ARF6,25,18,22,15,21,102,,,
BRPF1,35,19,16,24,8,102,,,
BYSL,37,7,25,14,20,102,,,
C10orf105,13,13,45,9,11,102,,,
CCDC191,32,15,26,7,9,102,,,
CCNH,12,14,37,27,13,102,,,
CPNE8,26,24,29,11,8,102,,,
DMXL2,30,31,14,7,14,102,,,
FAIM,38,15,17,21,5,102,,,
FAM21C,38,15,19,10,15,102,,,
GRHL1,29,6,12,35,14,102,,,
GUK1,35,8,14,11,25,102,,,
INPP5K,16,11,53,0,8,102,,,
KCNH4,41,47,8,3,2,102,,,
LIN37,33,9,11,28,18,102,,,
LOC105379561,41,31,23,4,3,102,,,
LOC653513,20,8,35,11,20,102,,,
LRP4,25,18,51,3,5,102,,,
MCM3AP,32,11,14,28,18,102,,,
ME1,23,15,11,11,38,102,,,
MRPL3,40,12,10,22,4,102,,,
MRPL9,29,15,17,4,36,102,,,
MRPS11,21,28,8,8,36,102,,,
MRPS27,12,6,49,7,24,102,,,
MSL1,24,21,23,15,17,102,,,
NMI,25,10,42,10,12,102,,,
NUTM2G,23,15,31,8,22,102,,,
OSCP1,21,22,20,19,10,102,,,
PFN1,37,5,18,10,22,102,,,
PGD,19,11,9,23,20,102,,,
PGGT1B,25,9,25,13,17,102,,,
PTDSS1,33,10,18,7,25,102,,,
PTGIS,15,22,49,10,2,102,,,
RGPD5,32,22,18,13,10,102,,,
RNF214,17,22,48,6,4,102,,,
SND1,43,12,16,8,23,102,,,
SOCS4,24,28,26,17,13,102,,,
SP5,25,12,40,6,8,102,,,
SPIRE2,31,14,25,13,12,102,,,
TES,20,28,26,9,16,102,,,
TGFB1I1,18,33,26,4,16,102,,,
TSR1,21,5,21,32,20,102,,,
UBE2D4,25,14,18,35,5,102,,,
UQCRC1,17,10,31,8,34,102,,,
USP51,21,31,36,7,6,102,,,
UXT,23,14,23,17,16,102,,,
ZNF518B,17,14,40,20,9,102,,,
BICDL2,15,18,40,6,15,101,,,
CENPB,15,18,38,18,5,101,,,
CLP1,26,40,14,8,7,101,,,
CYBA,19,16,18,37,4,101,,,
DLAT,22,9,8,18,40,101,,,
DPH1,15,9,27,26,28,101,,,
EFR3A,40,9,27,14,7,101,,,
EIF1B,16,6,41,12,16,101,,,
FBXW10,8,19,61,9,4,101,,,
GJC1,25,26,28,14,6,101,,,
IK,24,12,43,10,6,101,,,
INTS3,16,7,46,11,13,101,,,
KIRREL3,24,27,37,3,10,101,,,
LOC102724657,44,7,21,11,9,101,,,
LOC105370687,26,11,43,9,6,101,,,
LOC105373750,17,4,34,20,21,101,,,
METTL20,30,14,12,15,21,101,,,
MLNR,16,16,16,33,17,101,,,
MRGBP,13,12,58,8,7,101,,,
NF2,32,11,25,8,16,101,,,
NUFIP2,19,16,23,29,12,101,,,
ODF3L1,19,20,37,3,17,101,,,
PCBP2,30,7,33,18,10,101,,,
PGM5,11,31,21,14,19,101,,,
PTMA,23,14,12,30,10,101,,,
RACGAP1,16,35,36,3,4,101,,,
RIPOR2,21,11,14,20,24,101,,,
SERINC1,38,39,16,2,2,101,,,
SMARCB1,24,10,41,19,6,101,,,
SMEK2,18,23,34,9,8,101,,,
TBP,33,20,19,20,11,101,,,
TGIF2-C20orf24,32,15,13,18,18,101,,,
TMEM5,30,13,14,17,24,101,,,
TRAF7,14,26,33,20,7,101,,,
YARS2,23,7,20,12,31,101,,,
ZBTB4,20,16,40,8,12,101,,,
ZNF135,25,26,17,19,5,101,,,
ZNF517,32,14,21,6,19,101,,,
ZRANB3,7,7,62,11,11,101,,,
ANAPC10,30,15,14,19,16,100,,,
ANXA8L1,36,14,43,2,5,100,,,
APBA2,39,12,20,15,7,100,,,
APCDD1L,34,18,38,5,5,100,,,
C2orf82,15,24,22,7,16,100,,,
CCT5,39,8,15,19,11,100,,,
CLPSL2,33,18,19,12,12,100,,,
CMC2,20,14,18,25,18,100,,,
COL10A1,28,33,29,5,4,100,,,
COQ2,25,9,25,19,13,100,,,
CPSF2,17,13,25,33,14,100,,,
CTCF,42,11,24,13,3,100,,,
DAB2,20,15,51,2,6,100,,,
DGCR14,24,22,35,6,7,100,,,
DHPS,11,12,39,30,7,100,,,
EML3,26,8,1,13,45,100,,,
EVI5,27,5,29,10,26,100,,,
EXTL3,37,12,25,19,3,100,,,
FAM103A1,28,12,9,43,2,100,,,
FAM186B,39,13,27,13,6,100,,,
FAM188B,36,10,15,11,20,100,,,
FANCA,20,9,21,21,28,100,,,
GON4L,16,14,44,11,15,100,,,
KIAA2013,13,4,53,7,17,100,,,
LARP1,44,17,22,11,3,100,,,
LOC101930420,37,16,15,9,19,100,,,
LOC107984832,34,13,12,8,29,100,,,
LRP1B,27,31,27,3,5,100,,,
LSR,31,15,36,2,15,100,,,
MAX,48,5,6,19,12,100,,,
MEAF6,29,15,16,23,5,100,,,
MSN,33,11,15,29,7,100,,,
MTFMT,30,36,18,5,7,100,,,
NPAS4,18,12,58,1,7,100,,,
ORAOV1,51,18,15,17,4,100,,,
PPP4R4,47,21,9,6,14,100,,,
RTL9,19,27,25,8,11,100,,,
SERINC4,42,26,10,12,10,100,,,
SLC9A9,31,20,39,6,0,100,,,
SMC6,23,8,11,25,30,100,,,
SSB,28,16,46,7,4,100,,,
ST5,12,31,47,7,0,100,,,
STRA13,27,14,25,10,22,100,,,
TIMM8B,33,22,20,5,11,100,,,
TMEM186,44,11,17,4,18,100,,,
TMEM251,18,7,70,4,4,100,,,
WFDC1,10,18,61,4,5,100,,,
XRN1,31,22,16,22,8,100,,,
ZNF784,25,7,30,10,21,100,,,
ABHD18,38,16,20,6,13,99,,,
ACTR1B,26,11,33,10,16,99,,,
ANXA2,15,5,37,16,22,99,,,
ARF3,47,12,10,15,7,99,,,
ARID2,39,17,13,26,4,99,,,
ARRB1,41,15,16,17,9,99,,,
ATF5,45,8,21,19,6,99,,,
ATP5G1,26,27,10,19,9,99,,,
ATP6V0E1,34,12,25,10,8,99,,,
BAHD1,16,10,54,12,11,99,,,
C18orf54,27,26,43,0,3,99,,,
CARKD,24,26,34,6,9,99,,,
CCNB1IP1,25,26,36,4,3,99,,,
CD27,50,22,9,3,4,99,,,
CDK20,16,14,42,20,5,99,,,
CELF3,16,24,14,7,37,99,,,
COG3,9,12,48,7,17,99,,,
DENND6B,18,30,38,1,16,99,,,
DGKD,19,26,23,18,9,99,,,
DHX38,40,9,23,8,9,99,,,
EXOSC8,49,9,11,20,7,99,,,
EXT1,15,16,13,42,10,99,,,
FNDC5,14,16,42,20,3,99,,,
FUNDC2,21,24,33,7,6,99,,,
GAL,18,21,45,8,6,99,,,
GPR4,26,19,35,3,11,99,,,
HIST2H4B,22,23,30,9,13,99,,,
ISG20L2,46,16,24,7,1,99,,,
KIAA0391,26,10,17,22,14,99,,,
LOC102724642,18,10,11,43,11,99,,,
LOC105374089,55,24,5,8,4,99,,,
LOC107986352,13,11,38,8,31,99,,,
MANEA,40,14,14,15,16,99,,,
MMP25,35,26,28,4,4,99,,,
MRPL40,27,13,40,19,9,99,,,
P2RY6,31,12,20,7,23,99,,,
PI4K2B,43,10,20,6,16,99,,,
PSMA3,29,13,18,17,25,99,,,
PSMD13,12,11,18,44,12,99,,,
RAB34,42,13,23,5,11,99,,,
RBM45,36,2,35,14,4,99,,,
RETREG3,28,13,15,10,26,99,,,
SELENOM,22,24,16,7,20,99,,,
SETD2,35,17,18,23,5,99,,,
SNTB1,23,20,36,12,2,99,,,
SUMO2,21,22,25,9,20,99,,,
TANGO6,33,23,23,16,8,99,,,
WRAP73,21,18,39,6,9,99,,,
YTHDF2,40,16,6,28,4,99,,,
ZDHHC11,46,14,18,6,7,99,,,
ZNF788P,38,9,20,8,14,99,,,
ACTB,19,8,6,16,43,98,,,
AGPAT3,25,13,17,18,18,98,,,
ANKRD28,10,20,53,5,5,98,,,
ARID4B,42,9,6,24,12,98,,,
ATP6V1A,20,11,44,8,6,98,,,
BTBD1,38,14,16,5,20,98,,,
C20orf27,17,11,52,10,2,98,,,
CAPRIN1,26,6,25,17,26,98,,,
CCZ1,17,6,40,6,26,98,,,
CDH17,57,24,9,4,5,98,,,
CH25H,20,11,37,4,24,98,,,
CLIC6,27,24,20,8,15,98,,,
CLNS1A,22,20,17,25,9,98,,,
CMTM8,19,32,30,10,4,98,,,
CYB5B,41,24,6,10,6,98,,,
DDX27,44,8,10,18,19,98,,,
DHODH,17,11,22,24,18,98,,,
DHX35,14,48,15,6,19,98,,,
DIO3,18,18,40,10,12,98,,,
ENTPD8,23,29,21,7,10,98,,,
GYLTL1B,20,16,39,8,7,98,,,
ING5,32,19,14,8,21,98,,,
KIAA0355,22,11,45,7,10,98,,,
KRBA2,18,20,26,8,20,98,,,
LOC101060017,25,23,27,10,7,98,,,
LOC107985416,29,5,19,13,22,98,,,
LOC391003,24,15,28,19,7,98,,,
MRPL47,21,16,23,21,8,98,,,
NAA15,11,9,31,6,34,98,,,
NRD1,24,14,38,11,6,98,,,
PAK6,23,22,39,7,6,98,,,
PDE3A,21,25,35,8,7,98,,,
PDHA1,20,11,18,5,40,98,,,
POC1A,26,46,12,8,5,98,,,
PROCA1,17,9,32,17,21,98,,,
PRPF39,15,9,52,16,4,98,,,
PRR19,9,4,10,39,36,98,,,
PRSS43,9,27,34,11,6,98,,,
PSMC3,31,7,14,12,32,98,,,
PTBP1,31,28,9,12,14,98,,,
RBCK1,31,12,16,21,12,98,,,
RBM14,27,11,36,5,14,98,,,
RDH12,18,33,39,3,1,98,,,
RDH14,42,18,11,12,8,98,,,
RHPN1,40,10,14,15,7,98,,,
SCO1,31,14,28,18,4,98,,,
SDHAF2,19,18,15,14,36,98,,,
SLC29A2,29,10,15,9,31,98,,,
SLCO1B1,31,16,8,6,27,98,,,
STK40,52,8,10,14,18,98,,,
THAP3,26,16,36,8,12,98,,,
TNS4,8,24,39,8,15,98,,,
TRMT112,15,9,19,9,43,98,,,
TTC23L,17,14,37,11,14,98,,,
ARHGAP28,39,12,24,10,6,97,,,
C17orf49,18,7,44,13,13,97,,,
CDK16,37,27,19,4,6,97,,,
CHCHD5,34,17,25,3,12,97,,,
CKAP2,19,12,13,33,23,97,,,
CKS1B,24,21,12,24,12,97,,,
CLDN18,27,25,25,7,8,97,,,
COX7A2L,27,21,33,13,6,97,,,
DHX15,28,25,23,14,8,97,,,
EDC3,31,2,29,11,25,97,,,
EIF2B5,19,6,23,22,29,97,,,
EIF3D,43,4,11,5,22,97,,,
GOLGA3,45,10,19,5,19,97,,,
GPN1,38,2,22,7,30,97,,,
LOC105378947,27,25,15,12,7,97,,,
LOC107987377,25,4,51,16,6,97,,,
LOC112268131,17,6,24,14,38,97,,,
LURAP1,25,11,16,26,15,97,,,
LUZP1,27,10,8,10,32,97,,,
MATR3,26,8,45,6,6,97,,,
MED30,27,9,10,41,6,97,,,
MSX1,26,13,13,36,9,97,,,
NAP1L4,20,7,28,11,20,97,,,
NAPA,26,28,17,11,12,97,,,
NDUFB11,22,10,11,22,29,97,,,
ORMDL1,22,19,40,3,6,97,,,
PPP6R3,28,6,22,25,10,97,,,
PRMT7,21,23,34,10,4,97,,,
RBMXL1,16,47,27,3,5,97,,,
RPS19BP1,29,3,6,17,33,97,,,
SDHD,28,10,20,15,23,97,,,
SLC25A34,18,8,36,16,16,97,,,
SMIM19,38,11,19,19,10,97,,,
SUCO,12,6,12,52,10,97,,,
TBC1D31,21,28,14,15,16,97,,,
TFB2M,44,17,20,14,5,97,,,
THOC3,32,10,18,11,18,97,,,
TIMM50,21,17,24,3,28,97,,,
TMEM203,26,17,41,6,4,97,,,
TPD52L1,24,27,32,8,4,97,,,
TRIM23,34,16,24,8,11,97,,,
TRPM4,33,14,31,5,14,97,,,
TSSC1,34,11,36,6,9,97,,,
TTI1,27,16,12,9,27,97,,,
XPO1,35,2,18,9,23,97,,,
ZDHHC11B,33,19,18,19,3,97,,,
ZMYM3,15,15,55,4,7,97,,,
ALDH3B1,19,21,15,29,13,96,,,
ARHGAP44,12,16,49,7,9,96,,,
BEGAIN,31,24,25,12,4,96,,,
C7orf49,11,11,43,17,5,96,,,
CAPN5,11,8,20,36,14,96,,,
CNNM2,40,24,9,6,11,96,,,
COG1,7,3,73,1,2,96,,,
DCTN1,17,12,49,10,4,96,,,
DMPK,12,14,46,3,10,96,,,
DUOX2,39,20,17,10,10,96,,,
DUS1L,35,36,10,7,6,96,,,
DYNC1I2,30,7,19,10,25,96,,,
EEF1B2,35,15,12,19,6,96,,,
ERC1,19,18,36,14,5,96,,,
FAHD2B,25,20,17,14,19,96,,,
FAM231AP,17,29,25,7,8,96,,,
GLB1L2,27,38,25,6,2,96,,,
GNL3,53,8,14,16,7,96,,,
HLA-DMA,26,4,17,39,3,96,,,
HNRNPU,34,7,32,8,9,96,,,
IGHMBP2,25,9,34,5,17,96,,,
ING3,11,31,37,11,5,96,,,
KCNE3,16,6,19,25,20,96,,,
LEPROTL1,38,30,10,7,11,96,,,
LYST,33,19,26,7,9,96,,,
MFSD5,33,15,11,20,15,96,,,
NUP43,12,10,17,28,18,96,,,
OR1F1,25,26,25,6,9,96,,,
OSBPL9,26,34,28,5,0,96,,,
PDSS1,20,5,9,11,48,96,,,
PHF12,19,11,12,44,7,96,,,
PHF20L1,20,25,40,7,1,96,,,
PPP2R5C,19,14,25,6,27,96,,,
RAB6A,24,32,16,8,8,96,,,
RPAP2,35,18,8,10,19,96,,,
SCN3B,15,24,24,16,15,96,,,
SIPA1,26,21,16,9,19,96,,,
SLA2,37,16,25,3,11,96,,,
TAPT1,27,8,18,17,24,96,,,
TLK2,25,6,29,11,29,96,,,
TMEM43,11,28,40,4,10,96,,,
TPM4,16,34,26,9,8,96,,,
TPRXL,31,16,11,5,26,96,,,
UBA2,15,12,29,24,16,96,,,
USP2,23,8,34,10,21,96,,,
WASHC2C,18,13,16,23,12,96,,,
ZC3H18,31,17,13,21,10,96,,,
ZNF891,54,9,13,11,7,96,,,
ALDH5A1,16,33,39,3,1,95,,,
APBB1,34,29,21,8,1,95,,,
C21orf59,19,10,13,23,30,95,,,
C4orf47,15,25,34,8,12,95,,,
CD226,7,20,48,6,15,95,,,
CEP19,29,20,11,20,13,95,,,
CGB,44,4,20,5,15,95,,,
CLK2,16,19,46,4,9,95,,,
CYB5A,12,35,32,8,3,95,,,
DLG5,29,30,15,3,15,95,,,
ERGIC3,21,9,45,7,18,95,,,
ETV3,22,14,12,13,33,95,,,
GABPB1,18,8,39,17,14,95,,,
GGACT,37,36,17,3,2,95,,,
HN1,22,14,23,10,21,95,,,
IMPA2,18,35,34,4,7,95,,,
KIAA0100,14,7,51,6,18,95,,,
KLHL26,22,13,20,17,23,95,,,
LAMTOR2,41,19,18,12,5,95,,,
LOC100133267,13,8,23,14,23,95,,,
LOC112268005,23,5,29,5,30,95,,,
MRPS5,23,3,11,6,51,95,,,
MS4A4E,12,2,24,32,17,95,,,
NFYA,23,9,18,18,18,95,,,
NPM1,25,5,42,17,5,95,,,
PDCD7,27,13,11,22,19,95,,,
PDE2A,13,11,11,12,50,95,,,
PRPF8,24,10,22,21,10,95,,,
RPS24,39,8,18,10,22,95,,,
SBNO1,16,17,32,26,5,95,,,
SKP1,20,31,17,6,16,95,,,
SLC25A30,20,23,12,14,25,95,,,
SPC25,19,28,19,1,21,95,,,
SPDYE2B,32,11,15,14,21,95,,,
SPG21,44,14,9,11,14,95,,,
THAP12,24,22,39,4,3,95,,,
THSD7B,21,29,29,6,9,95,,,
TNFSF13,10,8,49,7,20,95,,,
TP53TG3D,15,7,39,11,7,95,,,
TRAF3IP3,10,25,51,2,4,95,,,
TVP23C,21,7,46,6,7,95,,,
UBQLN2,29,36,24,1,4,95,,,
VAC14,34,23,14,15,9,95,,,
WNK4,20,4,25,42,6,95,,,
ADAMTS13,10,15,24,28,11,94,,,
BRIX1,41,15,17,11,11,94,,,
CBLB,34,7,12,30,7,94,,,
CIC,21,8,39,2,18,94,,,
CUL1,24,15,29,7,21,94,,,
CUL2,18,9,36,22,7,94,,,
DDB2,42,12,13,16,10,94,,,
DDIT4,24,9,11,15,29,94,,,
DEPDC5,35,20,11,6,17,94,,,
FAM161B,36,10,13,18,13,94,,,
FAM89A,31,30,23,3,3,94,,,
GRB14,41,9,14,16,9,94,,,
GTF2H1,17,19,22,23,8,94,,,
IL31RA,11,15,22,24,12,94,,,
INTS12,19,24,25,13,4,94,,,
ITPKA,41,13,20,16,4,94,,,
LOC107986192,45,20,20,3,3,94,,,
METTL14,23,5,27,20,13,94,,,
MID1IP1,14,8,27,12,30,94,,,
NAT10,13,10,22,20,26,94,,,
NPLOC4,37,27,4,15,5,94,,,
NRM,33,6,33,13,7,94,,,
PAFAH1B2,32,10,31,9,14,94,,,
PIK3R4,35,8,15,6,24,94,,,
PKN2,12,10,41,0,30,94,,,
PKP4,20,8,50,3,5,94,,,
PREB,17,11,24,9,29,94,,,
RCE1,22,9,20,29,2,94,,,
RPL35A,24,15,20,22,8,94,,,
SF1,16,12,42,10,8,94,,,
SPECC1L,14,14,15,25,30,94,,,
SPINK5,14,19,46,1,7,94,,,
SPRY1,6,33,44,3,3,94,,,
STAT4,23,19,39,12,2,94,,,
SUFU,17,15,28,15,19,94,,,
TRA2A,21,21,13,15,19,94,,,
TRMT44,20,11,37,5,18,94,,,
TROVE2,21,19,40,5,3,94,,,
TSPAN1,25,6,15,15,27,94,,,
TUBA3D,15,7,31,10,29,94,,,
