gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum,,
WDR77,11,15,18,17,4,64,,
MUSTN1,13,26,18,3,1,64,,
MAMDC4,18,16,19,4,4,64,,
ERRFI1,10,3,20,23,6,64,,
ATRN,11,5,21,1,23,64,,
SETD1A,11,12,21,16,4,64,,
HM13,6,5,23,4,21,64,,
CD164L2,15,8,25,8,6,64,,
VPS25,12,11,27,16,1,64,,
FDPS,10,18,28,1,6,64,,
NUBPL,10,20,28,0,3,64,,
TNXB,18,10,28,4,2,64,,
ZNF25,11,20,28,5,1,64,,
CATSPER2,6,17,29,3,5,64,,
COL8A2,10,10,30,1,3,64,,
LINC00452,11,8,35,3,6,64,,
PLD6,9,5,38,3,6,64,,
ZNF609,5,10,40,2,5,64,,
NIF3L1,2,15,40,4,4,64,,
COX15,8,3,1,0,44,63,,
RNASEH1,3,1,2,2,53,63,,
PTCD1,10,1,2,0,49,63,,
GATB,17,4,2,2,37,63,,
APOE,12,6,3,3,38,63,,
WEE1,9,3,3,6,33,63,,
RPS24,16,5,3,9,25,63,,
LOC102724151,10,7,4,31,4,63,,
NFAT5,7,3,5,5,39,63,,
CYC1,21,5,5,3,29,63,,
FECH,13,3,5,7,29,63,,
CD5,22,1,5,9,24,63,,
EEF1B2,19,5,5,7,22,63,,
NOP58,13,6,5,15,16,63,,
RPS2,17,5,5,22,9,63,,
PTPRS,12,6,6,17,19,63,,
RBM25,20,9,6,8,16,63,,
NUP133,23,7,6,9,13,63,,
BUB1B,19,4,7,7,19,63,,
TRIM24,13,2,8,10,24,63,,
CARNMT1,17,8,8,4,21,63,,
L3MBTL2,21,7,8,9,13,63,,
TRMT12,25,10,8,7,8,63,,
NELFE,16,9,10,4,22,63,,
SKP1,20,13,10,5,14,63,,
ARID2,20,3,10,16,10,63,,
SEMA4B,26,21,10,5,0,63,,
TBP,12,4,11,14,15,63,,
CEBPZ,21,7,11,11,11,63,,
DDX50,12,24,11,5,6,63,,
GRPEL1,10,3,12,10,26,63,,
CTU2,13,6,12,3,25,63,,
F8,18,8,12,12,12,63,,
TTK,19,18,12,2,5,63,,
QRFP,14,30,12,4,2,63,,
CAND2,18,6,13,11,17,63,,
CTPS1,15,7,13,18,5,63,,
CALCOCO1,11,11,14,4,15,63,,
VCX3B,17,8,14,8,8,63,,
FTL,16,6,15,4,16,63,,
KCTD1,26,15,15,3,2,63,,
HMX2,17,6,17,7,11,63,,
NSUN4,23,4,18,13,4,63,,
UBR7,7,15,20,12,4,63,,
SQSTM1,8,4,22,17,7,63,,
FOXD4L4,13,4,23,5,16,63,,
MROH8,8,14,23,4,7,63,,
CAPZA2,10,11,25,3,7,63,,
RBM23,17,8,25,9,3,63,,
E2F2,17,17,25,3,0,63,,
CASP14,13,8,27,0,14,63,,
DERL3,7,23,27,2,3,63,,
RBBP8,8,10,28,7,8,63,,
UBE2H,4,21,30,9,0,63,,
SENP3,8,14,31,2,5,63,,
FSIP1,8,13,31,8,2,63,,
GAL3ST4,11,7,34,0,5,63,,
C1QL3,4,5,40,0,11,63,,
PANK3,11,3,1,4,39,62,,
LOC112268000,18,0,1,3,34,62,,
HSD11B1L,7,8,2,3,34,62,,
PCBP1,21,4,2,7,23,62,,
CYLD,13,2,3,11,26,62,,
C18orf21,27,4,3,24,3,62,,
TBCD,9,10,4,18,15,62,,
ME1,6,2,5,4,45,62,,
CHCHD1,9,12,5,0,31,62,,
C10orf12,28,7,5,4,15,62,,
SMDT1,11,1,6,2,38,62,,
LTBP3,10,7,6,3,33,62,,
EIF2B5,17,5,6,23,7,62,,
MED13,13,20,6,16,4,62,,
LOC100996414,11,3,7,1,30,62,,
ZNF155,14,9,7,9,21,62,,
RTCB,35,6,7,4,9,62,,
EIF3B,8,10,7,20,9,62,,
MED28,28,10,7,10,5,62,,
COPB2,19,18,7,9,4,62,,
LRPPRC,8,3,8,9,28,62,,
LOC112268284,18,5,8,10,16,62,,
DDX5,12,6,8,18,14,62,,
C1QL4,19,9,8,4,13,62,,
PKMYT1,20,12,8,9,10,62,,
INTS3,18,12,8,11,3,62,,
GPR151,30,18,8,1,2,62,,
DHH,13,1,9,3,27,62,,
TRIP4,13,26,9,6,3,62,,
ZNRF3,15,1,10,12,20,62,,
SLC17A7,8,6,10,17,18,62,,
ZCWPW2,20,12,10,5,10,62,,
EEF1A1,27,4,10,8,6,62,,
KAT2A,26,8,10,12,6,62,,
TBX6,22,7,10,7,5,62,,
ISCU,12,11,10,13,5,62,,
ATP5G2,10,9,11,2,27,62,,
PDIA2,16,7,11,3,22,62,,
SLMAP,16,5,11,1,18,62,,
BRD4,12,15,11,5,15,62,,
PFDN2,17,3,11,12,11,62,,
GOLGA8O,20,10,11,10,10,62,,
LOC100506388,19,3,11,14,7,62,,
KCTD5,17,6,11,20,2,62,,
NAF1,16,11,12,5,13,62,,
XRCC1,15,25,12,2,7,62,,
MSANTD3,12,3,12,26,5,62,,
CSMD3,20,13,13,5,8,62,,
CCDC84,17,16,13,5,4,62,,
COA1,11,32,13,2,2,62,,
LOC107987351,14,30,13,6,1,62,,
CAP2,4,2,14,7,29,62,,
TCERG1,13,7,14,9,18,62,,
ERP44,12,5,15,5,22,62,,
MBD3,16,4,15,4,21,62,,
EIF2S2,17,8,17,9,13,62,,
PRC1,18,6,17,4,5,62,,
TRIM66,14,27,17,1,1,62,,
THAP1,17,5,18,2,17,62,,
PLK4,14,18,18,1,6,62,,
LRRC37A2,13,17,18,8,1,62,,
ZNF318,12,11,19,10,6,62,,
LETMD1,18,21,20,2,3,62,,
ERBB3,20,13,22,2,5,62,,
CDK20,11,8,23,9,9,62,,
USP10,15,9,23,6,6,62,,
CASZ1,11,24,23,4,2,62,,
LOC112267983,12,12,24,1,10,62,,
DROSHA,13,5,26,6,5,62,,
KLHL20,12,17,26,5,2,62,,
ICE2,15,3,27,8,7,62,,
HOXA10,18,12,28,1,3,62,,
DNAJC7,5,18,34,1,2,62,,
NTN1,14,10,35,2,0,62,,
SCFD1,12,2,38,1,4,62,,
LOC105371763,9,9,38,1,1,62,,
HES7,6,6,42,5,1,62,,
PTGES2,22,3,5,2,24,61,,
ELP4,7,3,6,1,34,61,,
EXOSC1,7,4,6,24,18,61,,
PRIM1,10,6,6,18,14,61,,
MANBAL,27,6,7,1,18,61,,
CIAPIN1,23,9,7,13,6,61,,
RSL1D1,20,2,9,6,17,61,,
MORC2,16,26,9,5,3,61,,
GLTP,22,8,10,6,12,61,,
RFC4,21,7,10,14,8,61,,
SLC25A19,20,19,10,2,0,61,,
USP9X,17,1,11,1,24,61,,
PIWIL3,16,8,11,13,5,61,,
RPS7,11,8,11,25,2,61,,
NBPF3,27,11,11,5,0,61,,
RILP,19,15,12,10,2,61,,
DDB1,20,1,13,8,9,61,,
SCN2A,10,9,13,18,8,61,,
KLRD1,17,16,13,3,5,61,,
CCNY,5,3,14,9,23,61,,
PKDCC,18,19,14,3,3,61,,
AK6,7,8,15,9,15,61,,
AKAP5,11,23,15,0,8,61,,
NAA16,21,16,15,3,2,61,,
NEK7,9,18,17,3,8,61,,
HERPUD2,14,15,17,7,7,61,,
XRCC6,12,9,17,13,4,61,,
ZDHHC5,12,12,18,13,4,61,,
MRI1,18,16,18,6,0,61,,
LOC107984043,6,11,19,17,3,61,,
RXRB,16,11,20,2,9,61,,
ABHD3,16,23,22,3,2,61,,
KCNIP2,17,14,22,5,1,61,,
SPG7,16,15,23,4,5,61,,
LOC107987158,8,11,24,3,10,61,,
EIF4G1,17,13,24,4,2,61,,
EMC3,5,6,25,3,16,61,,
LOC105379561,11,6,30,7,7,61,,
MIEF2,9,13,31,4,0,61,,
PLSCR3,5,6,36,7,2,61,,
TPRKB,17,3,0,5,31,60,,
EXOSC8,13,6,2,21,20,60,,
SNX22,17,14,3,12,9,60,,
TUT1,11,6,4,2,34,60,,
POLR2E,6,2,5,7,29,60,,
DAP,22,11,5,7,12,60,,
TTC22,10,20,5,15,7,60,,
GFM2,8,3,6,10,35,60,,
MRPL38,13,6,6,4,27,60,,
CCNE1,18,16,6,8,10,60,,
ADGRL1,17,1,6,28,4,60,,
NAV1,19,3,7,7,23,60,,
PLK1,11,17,7,8,11,60,,
DPH1,13,12,7,15,10,60,,
ABCB7,15,6,8,12,15,60,,
CSTF3,18,4,8,7,13,60,,
RPL37A,12,2,8,13,13,60,,
CCDC85A,13,19,8,15,4,60,,
PFN1,14,10,9,9,14,60,,
THOC2,16,4,9,12,13,60,,
TAF1B,19,5,9,13,13,60,,
HSPA9,16,13,9,11,5,60,,
SAP30,10,4,10,5,27,60,,
CHRFAM7A,16,10,10,4,20,60,,
ADAM10,23,6,10,7,13,60,,
C17orf59,15,2,10,15,10,60,,
ZNF8,11,15,11,14,12,60,,
TBC1D10C,21,9,11,5,7,60,,
TRPA1,20,12,11,12,4,60,,
PSMG1,18,16,12,3,9,60,,
RPL17,16,16,12,6,5,60,,
LOC105370691,15,8,13,7,18,60,,
BNIP1,9,11,13,10,14,60,,
WWTR1,26,5,13,5,10,60,,
NMT2,11,11,14,8,12,60,,
LOC105377805,15,23,14,0,3,60,,
MCM2,11,10,15,4,14,60,,
ENSA,13,21,15,2,7,60,,
CCT8,24,3,16,6,5,60,,
TMPRSS6,14,10,16,14,3,60,,
METTL14,10,6,17,10,16,60,,
HSPA14,17,8,18,6,13,60,,
SERPINA3,5,27,18,1,5,60,,
CHST7,15,8,18,8,4,60,,
HNRNPA1,20,9,20,5,3,60,,
CYS1,9,20,21,5,3,60,,
CDC40,11,7,23,3,11,60,,
CBFB,8,8,25,14,3,60,,
RFT1,7,19,31,1,1,60,,
LOC105372883,7,13,34,1,5,60,,
MCOLN3,5,4,35,4,9,60,,
PRPSAP2,3,10,38,4,0,60,,
TADA2B,11,1,1,4,40,59,,
NAA20,25,11,1,11,3,59,,
GLUD1,3,4,2,2,42,59,SEPTIN8,
MRPL35,5,1,3,3,47,59,,
CTNNBL1,13,6,3,21,11,59,,
NAALADL1,15,6,4,3,27,59,,
USP16,10,1,4,14,22,59,,
PBRM1,22,4,5,7,19,59,,
KLHL11,22,10,5,11,6,59,,
AHCYL1,19,6,5,20,6,59,,
LOC112268219,6,3,6,3,32,59,,
PPM1F,9,4,6,8,22,59,,
SNIP1,16,6,6,13,10,59,,
RAD17,14,9,7,1,25,59,,
LOXL2,21,5,7,20,0,59,,
PSIP1,8,2,8,3,35,59,,
QRICH1,7,3,8,5,31,59,,
SLC35G1,15,7,8,6,22,59,,
ITGA5,11,6,8,8,21,59,,
RFC1,18,6,8,5,15,59,,
CAMK2G,21,11,8,4,8,59,,
HCFC1,17,11,8,13,8,59,,
ROMO1,23,10,8,7,7,59,,
KEAP1,11,1,9,5,30,59,,
SEC24C,14,4,9,10,14,59,,
HSF1,30,7,9,10,8,59,,
WNT11,9,4,10,5,31,59,,
SEPTIN8,14,18,10,6,8,59,,
MCM6,19,8,10,10,8,59,,
FKBP5,10,2,11,5,22,59,,
NBPF10,14,3,11,7,20,59,,
CPM,19,3,11,2,18,59,,
OXCT2,11,20,11,2,11,59,,
TAB1,21,16,11,1,4,59,,
EBP,14,21,11,6,4,59,,
UBIAD1,16,26,11,3,1,59,,
EXOSC7,11,9,12,17,5,59,,
LOC107986805,15,14,12,15,0,59,,
LOC100509620,14,6,13,6,12,59,,
AADAT,16,3,14,4,18,59,,
EXOSC4,10,20,14,5,7,59,,
TIPIN,12,13,14,11,6,59,,
PLSCR4,22,14,14,5,2,59,,
EPPK1,18,18,14,8,0,59,,
ZEB1,8,3,15,3,25,59,,
EIF4G2,8,17,15,7,3,59,,
CEACAM1,19,16,15,1,2,59,,
ATP5A1,11,0,16,3,25,59,,
OBP2A,13,18,16,4,7,59,,
EHMT1,11,22,16,2,3,59,,
PSMB3,20,14,16,8,2,59,,
URI1,9,6,17,5,19,59,,
KRT13,22,11,18,2,2,59,,
JAK2,15,7,19,4,15,59,,
KLHDC3,12,11,19,3,13,59,,
AP1M2,12,10,20,2,12,59,,
ZNF407,13,10,20,2,8,59,,
MEIS2,8,2,20,22,2,59,,
CTSL,18,14,20,3,1,59,,
TOMM34,19,7,23,3,8,59,,
PTRH2,10,11,23,2,6,59,,
VPS16,4,8,25,6,9,59,,
C8orf33,12,5,25,8,3,59,,
BAK1,15,2,26,4,9,59,,
GTPBP4,7,3,27,8,9,59,,
FOXO3,3,16,28,2,6,59,,
GNGT2,9,14,29,3,0,59,,
ALOX5,15,8,29,5,0,59,,
SLC12A9,4,5,30,3,17,59,,
CHRNB2,6,6,31,7,3,59,,
CCDC74B,13,3,37,2,4,59,,
ADPRH,7,6,37,3,3,59,,
MRPS21,10,3,1,3,38,58,,
TACO1,10,5,2,4,33,58,,
USP35,13,2,2,9,26,58,,
SRP72,9,3,2,11,22,58,,
COA4,6,5,3,6,35,58,,
COQ4,13,1,3,1,32,58,,
MDH1,9,5,3,17,20,58,,
SRSF2,27,6,3,12,1,58,,
POM121,11,3,4,0,38,58,,
CRCP,7,10,4,6,28,58,,
NOA1,11,7,4,12,26,58,,
EIF2B1,17,5,4,10,20,58,,
ATP5J2-PTCD1,9,5,5,5,37,58,,
WDR3,19,7,5,6,14,58,,
PRELID3B,16,15,5,8,8,58,,
KDM2B,14,6,6,7,22,58,,
KLHL23,24,4,6,3,19,58,,
ZNF45,8,3,6,21,13,58,,
PTBP1,18,10,6,12,1,58,,
MRPS11,13,9,7,1,26,58,,
NDUFA13,12,10,7,7,19,58,,
TNNI2,16,8,7,13,7,58,,
ALG1L,27,19,7,2,1,58,,
GPR89B,18,21,8,5,4,58,,
MCM7,15,6,8,22,1,58,,
RPL36AL,15,5,9,4,18,58,,
MMP14,18,3,9,7,13,58,,
SUPT5H,15,8,10,6,13,58,,
RPS19,15,21,10,6,8,58,,
KLHL31,13,20,10,1,7,58,,
POLE3,8,10,10,26,2,58,,
TROAP,11,8,11,17,6,58,,
AHDC1,10,23,12,3,10,58,,
DNAJC15,17,10,12,5,7,58,,
KCNK15,24,19,12,3,0,58,,
LOC107984138,14,18,13,2,3,58,,
EZH2,16,12,14,7,4,58,,
NDUFV2,21,13,14,4,3,58,,
PRPF39,17,3,15,10,9,58,,
MEPCE,9,7,15,12,8,58,,
FGFR1OP2,6,8,16,3,22,58,,
POLDIP2,8,6,17,5,15,58,,
LOC100996763,13,10,17,6,9,58,,
CPZ,15,16,17,4,3,58,,
RPS29,21,5,17,10,1,58,,
EMSY,14,2,18,4,18,58,,
SCAMP5,15,6,19,12,3,58,,
BIRC6,20,8,20,1,5,58,,
LOC644249,11,15,21,1,5,58,,
PEX5,14,8,22,5,7,58,,
LOC112268409,5,20,22,7,5,58,,
ZNF470,16,16,22,4,1,58,,
PRAP1,7,14,23,6,0,58,,
PIN1,8,7,24,3,17,58,,
SCP2,9,18,24,2,6,58,,
ABHD6,10,21,24,2,4,58,,
TBX20,10,15,25,1,3,58,,
RRP1,6,6,26,3,11,58,,
LOC105369591,8,14,26,4,3,58,,
NBPF12,7,2,27,4,12,58,,
CDCA3,11,12,27,3,2,58,,
ATP10A,19,4,27,1,1,58,,
TRIM39-RPP21,15,4,28,1,9,58,,
FAM221A,8,9,29,3,6,58,,
DISP1,11,11,29,1,5,58,,
COG5,12,6,30,0,9,58,,
MTMR10,9,7,33,5,5,58,,
MBLAC1,9,6,36,2,1,58,,
DCLRE1A,5,9,39,4,1,58,,
PEX3,3,6,41,1,6,58,,
GPT2,8,6,1,9,33,57,,
TRUB2,13,0,2,1,39,57,,
XPNPEP3,8,6,2,3,34,57,,
MON2,10,14,3,13,15,57,,
RBM4,8,2,4,4,32,57,,
SPDYE3,12,4,4,6,29,57,,
RPS27,17,3,4,6,24,57,,
CSNK2A1,16,6,4,7,19,57,,
PLEKHG6,20,12,4,6,12,57,,
ALG2,10,34,4,3,5,57,,
DR1,10,5,5,10,21,57,,
CEP350,17,4,6,4,24,57,,
CDCA8,12,8,6,9,12,57,,
NXF1,15,10,6,11,11,57,,
ISL2,31,12,6,3,6,57,,
LOC107984841,24,9,6,7,1,57,,
SOD2,5,3,7,16,22,57,,
FTSJ1,11,12,7,6,19,57,,
UBA5,18,11,7,1,17,57,,
EIF3G,25,4,7,1,8,57,,
MNS1,14,12,7,16,7,57,,
TRPC4AP,14,10,7,23,4,57,,
CEND1,24,16,7,4,2,57,,
MRPL50,18,2,8,1,22,57,,
MRPS18A,16,10,8,3,15,57,,
NUDT3,14,12,8,14,8,57,,
TRIO,11,6,9,6,23,57,,
FAAH,15,17,9,10,4,57,,
EIF4EBP3,21,24,9,3,1,57,,
TBC1D14,25,10,9,5,1,57,,
TRAM2,15,1,10,3,23,57,,
RPLP1,9,4,10,4,22,57,,
FAM217A,8,6,10,13,15,57,,
VCP,12,5,10,19,10,57,,
FKBP8,18,16,10,2,7,57,,
SWT1,21,10,10,6,7,57,,
NHP2,19,8,10,8,5,57,,
PTPMT1,13,5,11,8,18,57,,
SMNDC1,12,10,11,14,5,57,,
ELL,23,7,11,12,3,57,,
LGALS9C,11,8,12,11,5,57,,
PISD,18,11,12,5,3,57,,
INTS8,25,8,12,6,3,57,,
HMGCS1,8,5,13,7,8,57,,
MFN1,16,15,13,5,6,57,,
REP15,10,13,13,18,0,57,,
FAM118A,15,9,14,1,14,57,,
LRTOMT,14,5,15,3,14,57,,
ZNF17,17,4,15,1,13,57,,
ST7L,15,10,15,4,12,57,,
CLIP4,8,13,16,3,12,57,,
CDC37L1,15,8,17,2,7,57,,
BVES,9,23,17,5,1,57,,
PON1,7,7,18,14,8,57,,
HNRNPA0,11,19,19,3,4,57,,
SEC22B,8,12,20,5,6,57,,
C15orf53,13,13,20,3,5,57,,
WDR20,5,20,20,4,3,57,,
TTLL7,20,11,20,0,1,57,,
DDX51,17,1,23,5,3,57,,
JADE2,11,2,26,1,12,57,,
PDZD9,18,7,27,2,0,57,,
YWHAE,12,10,28,0,6,57,,
ALOXE3,12,4,28,7,5,57,,
B9D1,10,12,30,1,1,57,,
LRIG1,6,16,30,4,0,57,,
ADI1,8,14,1,20,9,56,,
MTPAP,12,3,2,4,33,56,,
MMD,11,1,2,2,31,56,,
KLRG1,13,6,2,3,30,56,,
HSPA8,25,7,3,2,18,56,,
EIF3I,11,6,4,5,26,56,,
NDUFS7,16,6,4,11,12,56,,
MZT2B,7,3,4,26,8,56,,
DNMT3A,19,18,4,2,2,56,,
FZD9,15,13,5,1,9,56,,
PGS1,19,10,5,17,2,56,,
NUP88,7,9,6,5,26,56,,
IDH2,23,9,6,0,7,56,,
C19orf44,11,12,6,11,7,56,,
GADD45GIP1,18,8,7,0,21,56,,
SLC40A1,10,6,7,8,20,56,,
SEC61G,11,8,7,11,14,56,,
SLCO2B1,15,7,7,3,12,56,,
RERGL,25,12,7,4,5,56,,
PARL,9,1,8,2,33,56,,
LOC112268238,19,8,8,10,11,56,,
LIN52,9,8,8,25,3,56,,
GLRX5,18,8,8,16,2,56,,
TSEN34,20,1,9,6,15,56,,
LOC100996741,9,8,9,7,15,56,,
SIRPB1,15,21,9,3,3,56,,
CKAP5,18,14,9,12,3,56,,
CDK2AP1,22,9,10,10,6,56,,
HID1,18,4,11,9,10,56,,
LOC100288562,20,11,11,5,5,56,,
HIST1H4B,16,9,11,12,5,56,,
RNF40,12,12,11,9,4,56,,
CHST14,14,7,11,15,4,56,,
IFT122,18,13,11,7,0,56,,
PSTK,13,17,11,8,0,56,,
RBM48,19,13,13,9,3,56,,
SLAIN1,15,16,13,10,1,56,,
STAM2,5,5,14,4,24,56,,
EFHC1,8,6,15,3,16,56,,
SDAD1,19,5,15,2,7,56,,
LPP,14,14,15,3,6,56,,
ZNF76,6,16,15,8,2,56,,
PNPLA6,14,4,15,16,1,56,,
SMYD3,27,5,16,1,3,56,,
CALCRL,28,10,16,2,0,56,,
XYLB,7,9,17,1,19,56,,
CNOT9,10,7,18,2,14,56,,
NCOA4,17,9,18,2,6,56,,
TEX2,17,10,18,2,4,56,,
ANKRD49,14,14,18,3,3,56,,
GTF2H2C,6,9,19,10,6,56,,
SLC9A1,15,11,20,4,3,56,,
TRIM14,16,15,20,3,1,56,,
XKR3,8,12,21,2,9,56,,
DHX9,13,8,21,4,2,56,,
MYLK,8,17,21,4,2,56,,
WNT3,15,4,22,6,11,56,,
CTDP1,13,7,22,8,2,56,,
TMEM43,15,9,23,1,4,56,,
TMED7-TICAM2,9,13,24,1,7,56,,
AAED1,4,16,24,4,4,56,,
CLHC1,7,5,26,3,7,56,,
ZBTB20,13,4,27,3,5,56,,
FBXL16,6,18,27,1,2,56,,
SLC38A10,10,8,28,8,0,56,,
TTPAL,18,24,1,8,2,55,,
ITSN2,3,2,3,4,40,55,,
HUNK,8,8,3,3,25,55,,
LHFPL2,10,5,4,13,21,55,,
SPDYE16,8,5,5,3,26,55,,
FAM210A,10,4,5,4,26,55,,
CENPT,9,11,5,4,18,55,,
NDFIP2,14,9,5,8,15,55,,
NAT10,15,5,5,9,14,55,,
COMMD3-BMI1,13,3,5,17,11,55,,
ALDOA,15,10,5,14,7,55,,
XRCC6BP1,11,0,6,4,25,55,,
ARHGAP42,8,12,6,9,18,55,,
CASK,10,3,6,12,18,55,,
MRPL34,16,4,6,15,13,55,,
DCAKD,17,9,6,5,10,55,,
CLP1,7,10,7,5,20,55,,
SCRIB,13,5,7,10,13,55,,
SLC4A8,14,13,7,2,12,55,,
NDP,21,11,7,4,8,55,,
NDST1,14,4,7,16,7,55,,
VPS33A,27,6,7,3,5,55,,
CACNA2D2,13,3,8,6,18,55,,
FZD3,31,13,8,2,1,55,,
NPIPB9,9,5,9,8,25,55,,
METTL7A,11,2,9,2,23,55,,
DNAJB2,17,11,9,5,8,55,,
PGAM1,14,9,9,5,7,55,,
DIDO1,15,4,9,22,4,55,,
NDRG1,15,4,9,21,3,55,,
GABARAP,17,7,10,8,2,55,,
RNF169,11,3,11,3,19,55,,
TAF2,18,8,11,9,2,55,,
ACO2,12,14,12,4,8,55,,
RHBDF1,15,9,12,8,8,55,,
KCNIP1,16,24,12,0,2,55,,
LOC107986982,14,21,12,2,1,55,,
GRAP,24,12,12,4,1,55,,
NDUFB11,5,4,13,4,23,55,,
TOR4A,21,2,13,5,13,55,,
IRF2BP1,12,8,13,8,12,55,,
RBM38,15,8,13,12,8,55,,
CMIP,15,6,15,3,9,55,,
RPS9,13,5,15,13,4,55,,
TMEM39A,17,9,16,3,8,55,,
KMO,7,7,16,13,8,55,,
AMT,18,8,16,3,5,55,,
CHMP3,17,3,17,5,10,55,,
AP3D1,19,7,18,1,7,55,,
SLC25A11,11,9,19,5,7,55,,
DHRS7B,12,4,20,7,7,55,,
C22orf24,10,14,20,1,4,55,,
ATP5O,11,9,21,2,7,55,,
GPR3,18,4,22,6,4,55,,
TTYH2,7,14,23,2,6,55,,
LOC102723750,13,9,23,5,4,55,,
LOC110117498,13,11,23,5,2,55,,
OR2T3,8,14,24,2,5,55,,
APBA2,17,7,24,10,3,55,,
LOC107987233,10,18,24,3,2,55,,
P3H2,7,19,25,1,5,55,,
CACNG6,10,13,25,2,4,55,,
NPTN,7,15,26,7,3,55,,
PKM,8,6,29,5,4,55,,
STARD7,13,5,0,1,29,54,,
RPUSD3,21,4,0,0,28,54,,
HDAC7,18,8,0,7,16,54,,
MIS18A,9,1,2,2,29,54,,
RCHY1,21,16,2,6,5,54,,
OTUD5,6,11,3,4,24,54,,
CSAD,13,3,3,7,23,54,,
RANBP1,12,3,3,9,19,54,,
COX6B1,10,6,4,3,26,54,,
MRPS17,12,6,4,4,24,54,,
UBE2K,17,5,4,6,18,54,,
SENP6,14,13,4,6,15,54,,
JMJD6,10,4,5,8,21,54,,
BTBD9,11,1,5,7,19,54,,
UBL7,20,4,5,18,8,54,,
H3F3C,26,12,5,5,4,54,,
GNL3L,26,6,5,14,2,54,,
PATZ1,11,4,6,10,19,54,,
ACTG1,28,4,6,7,5,54,,
RBM19,8,5,6,16,5,54,,
KLHDC8A,23,10,6,10,4,54,,
CTR9,18,7,7,1,18,54,,
PCNA,18,10,7,4,10,54,,
IFITM3,17,11,7,12,4,54,,
LAMA5,17,11,7,15,4,54,,
GABPA,15,17,7,7,3,54,,
GNAI2,23,18,7,3,1,54,,
TIGD5,9,3,8,8,21,54,,
RAP2C,13,11,8,2,15,54,,
RFWD3,16,13,8,7,11,54,,
PCDHB12,14,11,8,7,9,54,,
SNRNP70,19,13,8,5,6,54,,
LITAF,16,3,9,1,20,54,,
HCST,12,3,9,6,17,54,,
LOC105371844,18,8,9,2,13,54,,
FBL,11,4,9,10,11,54,,
COASY,11,9,9,7,10,54,,
PAXIP1,17,2,9,17,5,54,,
SUPT6H,10,5,9,18,2,54,,
STMN1,16,23,9,3,1,54,,
PODXL2,22,14,9,8,1,54,,
NCAPG,13,3,10,5,18,54,,
ZFYVE1,20,9,10,4,10,54,,
NFYC,21,5,10,6,7,54,,
IQANK1,16,7,10,18,4,54,,
HCFC1R1,12,9,10,19,3,54,,
FOXD4L6,9,2,11,3,22,54,,
TBC1D3C,13,3,11,13,16,54,,
YEATS2,8,11,11,4,14,54,,
LSM5,11,8,11,7,14,54,,
C1orf123,15,13,11,5,10,54,,
KAT5,10,16,11,9,5,54,,
VDR,16,14,11,7,3,54,,
RC3H1,11,8,12,3,17,54,,
NUDCD3,18,6,12,8,7,54,,
C16orf86,19,10,12,7,4,54,,
WDSUB1,16,12,12,10,4,54,,
C2orf42,21,13,12,2,3,54,,
RERG,24,11,12,1,1,54,,
PTP4A1,9,20,13,0,9,54,,
TMEM86B,6,21,13,4,8,54,,
DPF3,22,5,13,2,6,54,,
LAMTOR2,13,4,14,8,11,54,,
ZNF623,9,11,14,8,10,54,,
TXNL4B,10,8,14,13,9,54,,
PIP5KL1,15,8,14,7,8,54,,
LOC100996643,14,7,14,6,4,54,,
CEP126,14,14,14,1,3,54,,
GEMIN8,12,14,14,8,2,54,,
PSMB1,10,5,15,5,13,54,,
FIGN,21,5,15,0,7,54,,
PIN4,16,20,15,2,4,54,,
SLC39A4,13,14,15,3,2,54,,
SMG5,6,7,16,6,17,54,,
SOCS2,10,6,16,3,14,54,,
LAPTM5,21,10,16,3,1,54,,
RBM28,9,7,18,4,8,54,,
CHRNA3,14,10,18,6,0,54,,
SLC25A14,8,10,19,0,17,54,,
PPP2CA,15,4,19,5,9,54,,
MYH15,8,17,19,6,3,54,,
CXorf40B,9,21,19,1,1,54,,
LY6G5B,9,3,20,2,18,54,,
S1PR1,11,10,20,8,3,54,,
C19orf53,10,6,21,3,11,54,,
RPL28,13,5,21,4,11,54,,
DUOXA2,12,6,22,5,9,54,,
BBS5,25,3,22,1,3,54,,
GRIA4,22,6,22,0,1,54,,
GPANK1,12,8,23,3,5,54,,
ETF1,8,11,23,6,4,54,,
MAP3K6,12,11,25,3,1,54,,
TMX2,11,6,26,7,6,54,,
HOXD3,3,3,27,15,2,54,,
CCDC110,4,17,27,4,1,54,,
RAB11A,5,9,30,2,6,54,,
SLC47A2,10,2,30,5,4,54,,
NDUFB6,7,2,0,1,42,53,,
RASA4B,8,3,2,2,33,53,,
LENG8,9,8,2,7,21,53,,
NDUFC2-KCTD14,12,2,3,8,24,53,,
SPDL1,4,5,3,21,14,53,,
LOC107987363,17,6,3,18,5,53,,
TTLL12,10,4,4,9,25,53,,
NDUFB5,8,5,4,17,12,53,,
FAM168A,8,24,4,2,11,53,,
KRIT1,10,10,5,5,20,53,,
CTAGE6,16,8,5,11,6,53,,
MAN2A2,12,16,5,10,4,53,,
HPDL,10,4,5,28,2,53,,
LOC102724197,20,25,5,3,0,53,,
DHX16,19,3,6,6,13,53,,
RARS,24,1,6,9,6,53,,
UBAP1,18,18,6,4,3,53,,
PPP1R3C,10,14,7,5,19,53,,
TARS,20,1,7,6,15,53,,
