Table S2. (B) Primary screen extracted image features.,,,,,,,,,,,
feature,Analogous CellProfiler feature,description,Feature transformation,Used by interphase/mitotic cell support vector classifier,Used in interphase PHATE analysis,Used in mitotic PHATE analysis,Interphase heatmap display name,Mitotic heatmap display name,,,
cell_gh2ax_pftas_47,,"Parameter-free threshold adjacency statistic 48, a measure of gamma-H2AX channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_gh2ax_pftas_48,,"Parameter-free threshold adjacency statistic 49, a measure of gamma-H2AX channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_gh2ax_pftas_49,,"Parameter-free threshold adjacency statistic 50, a measure of gamma-H2AX channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_gh2ax_pftas_50,,"Parameter-free threshold adjacency statistic 51, a measure of gamma-H2AX channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_gh2ax_pftas_51,,"Parameter-free threshold adjacency statistic 52, a measure of gamma-H2AX channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_gh2ax_pftas_52,,"Parameter-free threshold adjacency statistic 53, a measure of gamma-H2AX channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_gh2ax_pftas_53,,"Parameter-free threshold adjacency statistic 54, a measure of gamma-H2AX channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_gh2ax_haralick_5_0,Texture_AnguarSecondMoment_{channel}_5,"Haralick texture feature 1 (angular second moment) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
cell_gh2ax_haralick_5_1,Texture_Contrast_{channel}_5,"Haralick texture feature 2 (contrast) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",log(feature),,,TRUE,,,,,
cell_gh2ax_haralick_5_2,Texture_Correlation_{channel}_5,"Haralick texture feature 3 (correlation) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,TRUE,TRUE,,,,,
cell_gh2ax_haralick_5_3,Texture_Variance_{channel}_5,"Haralick texture feature 4 (sum of squares variance) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",log(feature),,,,,,,,
cell_gh2ax_haralick_5_4,Texture_InverseDifferenceMoment_{channel}_5,"Haralick texture feature 5 (inverse difference moment) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
cell_gh2ax_haralick_5_5,Texture_SumAverage_{channel}_5,"Haralick texture feature 6 (sum average) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,,,,,,
cell_gh2ax_haralick_5_6,Texture_SumVariance_{channel}_5,"Haralick texture feature 7 (sum variance) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",log(feature),,,,,,,,
cell_gh2ax_haralick_5_7,Texture_SumEntropy_{channel}_5,"Haralick texture feature 8 (sum entropy) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
cell_gh2ax_haralick_5_8,Texture_Entropy_{channel}_5,"Haralick texture feature 9 (entropy) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,,,,,,
cell_gh2ax_haralick_5_9,Texture_DifferenceVariance_{channel}_5,"Haralick texture feature 10 (difference variance) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,,,,,,
cell_gh2ax_haralick_5_10,Texture_DifferenceEntropy_{channel}_5,"Haralick texture feature 11 (difference entropy) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,,,,,,
cell_gh2ax_haralick_5_11,Texture_InfoMeas1_{channel}_5,"Haralick texture feature 12 (information measure of correlation 1) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,TRUE,TRUE,,,,,
cell_gh2ax_haralick_5_12,Texture_InfoMeas2_{channel}_5,"Haralick texture feature 13 (information measure of correlation 2) of gamma-H2AX channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_0,,"Parameter-free threshold adjacency statistic 1, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_1,,"Parameter-free threshold adjacency statistic 2, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_2,,"Parameter-free threshold adjacency statistic 3, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_3,,"Parameter-free threshold adjacency statistic 4, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_4,,"Parameter-free threshold adjacency statistic 5, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_5,,"Parameter-free threshold adjacency statistic 6, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_6,,"Parameter-free threshold adjacency statistic 7, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_7,,"Parameter-free threshold adjacency statistic 8, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_8,,"Parameter-free threshold adjacency statistic 9, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_9,,"Parameter-free threshold adjacency statistic 10, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_10,,"Parameter-free threshold adjacency statistic 11, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_11,,"Parameter-free threshold adjacency statistic 12, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_12,,"Parameter-free threshold adjacency statistic 13, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_13,,"Parameter-free threshold adjacency statistic 14, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_14,,"Parameter-free threshold adjacency statistic 15, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_15,,"Parameter-free threshold adjacency statistic 16, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_16,,"Parameter-free threshold adjacency statistic 17, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_17,,"Parameter-free threshold adjacency statistic 18, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_18,,"Parameter-free threshold adjacency statistic 19, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_19,,"Parameter-free threshold adjacency statistic 20, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_20,,"Parameter-free threshold adjacency statistic 21, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_21,,"Parameter-free threshold adjacency statistic 22, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_22,,"Parameter-free threshold adjacency statistic 23, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_23,,"Parameter-free threshold adjacency statistic 24, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_24,,"Parameter-free threshold adjacency statistic 25, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_25,,"Parameter-free threshold adjacency statistic 26, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_26,,"Parameter-free threshold adjacency statistic 27, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_27,,"Parameter-free threshold adjacency statistic 28, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_28,,"Parameter-free threshold adjacency statistic 29, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_29,,"Parameter-free threshold adjacency statistic 30, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_30,,"Parameter-free threshold adjacency statistic 31, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_31,,"Parameter-free threshold adjacency statistic 32, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_32,,"Parameter-free threshold adjacency statistic 33, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_33,,"Parameter-free threshold adjacency statistic 34, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_34,,"Parameter-free threshold adjacency statistic 35, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_35,,"Parameter-free threshold adjacency statistic 36, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_36,,"Parameter-free threshold adjacency statistic 37, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_37,,"Parameter-free threshold adjacency statistic 38, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_38,,"Parameter-free threshold adjacency statistic 39, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_39,,"Parameter-free threshold adjacency statistic 40, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_40,,"Parameter-free threshold adjacency statistic 41, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_41,,"Parameter-free threshold adjacency statistic 42, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_42,,"Parameter-free threshold adjacency statistic 43, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_43,,"Parameter-free threshold adjacency statistic 44, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_44,,"Parameter-free threshold adjacency statistic 45, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_45,,"Parameter-free threshold adjacency statistic 46, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_46,,"Parameter-free threshold adjacency statistic 47, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_47,,"Parameter-free threshold adjacency statistic 48, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_48,,"Parameter-free threshold adjacency statistic 49, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_49,,"Parameter-free threshold adjacency statistic 50, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
cell_phalloidin_pftas_50,,"Parameter-free threshold adjacency statistic 51, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_51,,"Parameter-free threshold adjacency statistic 52, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_52,,"Parameter-free threshold adjacency statistic 53, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_pftas_53,,"Parameter-free threshold adjacency statistic 54, a measure of phalloidin channel intensity texture within the segmented cell, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
cell_phalloidin_haralick_5_0,Texture_AnguarSecondMoment_{channel}_5,"Haralick texture feature 1 (angular second moment) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
cell_phalloidin_haralick_5_1,Texture_Contrast_{channel}_5,"Haralick texture feature 2 (contrast) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",log(feature),,,,,,,,
cell_phalloidin_haralick_5_2,Texture_Correlation_{channel}_5,"Haralick texture feature 3 (correlation) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,TRUE,TRUE,,,,,
cell_phalloidin_haralick_5_3,Texture_Variance_{channel}_5,"Haralick texture feature 4 (sum of squares variance) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",log(feature),,,,,,,,
cell_phalloidin_haralick_5_4,Texture_InverseDifferenceMoment_{channel}_5,"Haralick texture feature 5 (inverse difference moment) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
cell_phalloidin_haralick_5_5,Texture_SumAverage_{channel}_5,"Haralick texture feature 6 (sum average) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,,,,,,
cell_phalloidin_haralick_5_6,Texture_SumVariance_{channel}_5,"Haralick texture feature 7 (sum variance) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",log(feature),,,TRUE,,,,,
cell_phalloidin_haralick_5_7,Texture_SumEntropy_{channel}_5,"Haralick texture feature 8 (sum entropy) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,,,,,,
cell_phalloidin_haralick_5_8,Texture_Entropy_{channel}_5,"Haralick texture feature 9 (entropy) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
cell_phalloidin_haralick_5_9,Texture_DifferenceVariance_{channel}_5,"Haralick texture feature 10 (difference variance) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
cell_phalloidin_haralick_5_10,Texture_DifferenceEntropy_{channel}_5,"Haralick texture feature 11 (difference entropy) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,,,,,,
cell_phalloidin_haralick_5_11,Texture_InfoMeas1_{channel}_5,"Haralick texture feature 12 (information measure of correlation 1) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
cell_phalloidin_haralick_5_12,Texture_InfoMeas2_{channel}_5,"Haralick texture feature 13 (information measure of correlation 2) of phalloidin channel intensity within the segmented cell, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
nucleus_dapi_pftas_0,,"Parameter-free threshold adjacency statistic 1, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_1,,"Parameter-free threshold adjacency statistic 2, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_dapi_pftas_2,,"Parameter-free threshold adjacency statistic 3, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_3,,"Parameter-free threshold adjacency statistic 4, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_dapi_pftas_4,,"Parameter-free threshold adjacency statistic 5, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_dapi_pftas_5,,"Parameter-free threshold adjacency statistic 6, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_6,,"Parameter-free threshold adjacency statistic 7, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,,TRUE,,,,,
nucleus_dapi_pftas_7,,"Parameter-free threshold adjacency statistic 8, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_8,,"Parameter-free threshold adjacency statistic 9, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_9,,"Parameter-free threshold adjacency statistic 10, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_10,,"Parameter-free threshold adjacency statistic 11, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_11,,"Parameter-free threshold adjacency statistic 12, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_12,,"Parameter-free threshold adjacency statistic 13, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_13,,"Parameter-free threshold adjacency statistic 14, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_dapi_pftas_14,,"Parameter-free threshold adjacency statistic 15, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_dapi_pftas_15,,"Parameter-free threshold adjacency statistic 16, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_16,,"Parameter-free threshold adjacency statistic 17, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,,,,,,
nucleus_dapi_pftas_17,,"Parameter-free threshold adjacency statistic 18, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,,,,,,
nucleus_dapi_pftas_18,,"Parameter-free threshold adjacency statistic 19, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_19,,"Parameter-free threshold adjacency statistic 20, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_20,,"Parameter-free threshold adjacency statistic 21, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_21,,"Parameter-free threshold adjacency statistic 22, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_dapi_pftas_22,,"Parameter-free threshold adjacency statistic 23, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_23,,"Parameter-free threshold adjacency statistic 24, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_24,,"Parameter-free threshold adjacency statistic 25, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_25,,"Parameter-free threshold adjacency statistic 26, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_26,,"Parameter-free threshold adjacency statistic 27, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,,,,,,
nucleus_dapi_pftas_27,,"Parameter-free threshold adjacency statistic 28, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_dapi_pftas_28,,"Parameter-free threshold adjacency statistic 29, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_dapi_pftas_29,,"Parameter-free threshold adjacency statistic 30, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_30,,"Parameter-free threshold adjacency statistic 31, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_31,,"Parameter-free threshold adjacency statistic 32, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_dapi_pftas_32,,"Parameter-free threshold adjacency statistic 33, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_33,,"Parameter-free threshold adjacency statistic 34, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_34,,"Parameter-free threshold adjacency statistic 35, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,,TRUE,,,,,
nucleus_dapi_pftas_35,,"Parameter-free threshold adjacency statistic 36, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,,,,,,
nucleus_dapi_pftas_36,,"Parameter-free threshold adjacency statistic 37, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_dapi_pftas_37,,"Parameter-free threshold adjacency statistic 38, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_38,,"Parameter-free threshold adjacency statistic 39, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_39,,"Parameter-free threshold adjacency statistic 40, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_40,,"Parameter-free threshold adjacency statistic 41, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_41,,"Parameter-free threshold adjacency statistic 42, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,TRUE,TRUE,,,,,
nucleus_dapi_pftas_42,,"Parameter-free threshold adjacency statistic 43, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,TRUE,,TRUE,,,,,
nucleus_dapi_pftas_43,,"Parameter-free threshold adjacency statistic 44, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,,,,,,
nucleus_dapi_pftas_44,,"Parameter-free threshold adjacency statistic 45, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,,,,,,
nucleus_dapi_pftas_45,,"Parameter-free threshold adjacency statistic 46, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_dapi_pftas_46,,"Parameter-free threshold adjacency statistic 47, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_dapi_pftas_47,,"Parameter-free threshold adjacency statistic 48, a measure of DAPI channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
